Test,Method,G,p_false_positive,se,ci_low,ci_high,rho,lambda,calibration_G,n_sim
Scalar region null,Conventional,45,0.339,0.006694460396477075,0.32587885762290497,0.3521211423770951,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,46,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,46,0.3426,0.006711560772279425,0.3294453408863323,0.3557546591136677,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,47,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,47,0.344,0.006718094968069446,0.3308325338625839,0.35716746613741607,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,48,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,48,0.3456,0.006725483477044606,0.3324180523849926,0.3587819476150074,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,49,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,49,0.3462,0.006728232457339743,0.3330126643836141,0.3593873356163859,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,50,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,50,0.3476,0.00673460080479905,0.3344001824225939,0.36079981757740615,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,51,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,51,0.3494,0.006742694416922659,0.3361843189428316,0.3626156810571684,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,52,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,52,0.3502,0.006746257629234152,0.3369773350467011,0.36342266495329895,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,53,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,53,0.3512,0.006750682335882796,0.33796866262166975,0.3644313373783303,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,54,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,54,0.353,0.006758564936434361,0.33975321272458864,0.3662467872754113,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,55,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,55,0.3536,0.006761169129669809,0.3403481085058472,0.36685189149415287,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,56,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,56,0.355,0.00676720030736493,0.34173628739756473,0.36826371260243523,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,57,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,57,0.3568,0.006774861769807558,0.3435212709311772,0.37007872906882283,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,58,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,58,0.3586,0.006782419037482127,0.345306458686535,0.37189354131346497,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,59,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,59,0.3598,0.006787399502018428,0.3464966969760439,0.3731033030239561,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,60,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,60,0.361,0.006792333914053402,0.3476870255284553,0.37431297447154466,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,61,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,61,0.3634,0.006802064980577589,0.35006795263806795,0.37673204736193205,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,62,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,62,0.365,0.0068084506313845,0.3516554367624864,0.3783445632375136,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,63,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,63,0.3664,0.006813971529145099,0.3530446158028756,0.3797553841971244,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,64,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,64,0.3668,0.006815537542996884,0.3534415464157261,0.3801584535842739,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,65,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,65,0.3678,0.0068194304747537385,0.3544339162694827,0.38116608373051736,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,66,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,66,0.369,0.00682406037487946,0.3556248416652363,0.3823751583347637,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,67,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,67,0.3706,0.0068301631020056906,0.3572128803200688,0.38398711967993115,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,68,0,0,0,0,0.995,303.8730841675049,2500,5000
