responseid,resp_order,contest,winner,orig_1ys,orig_3ys,orig_8ys,orig_FM_sp,orig_MD_sp,orig_law,orig_may,orig_leg,orig_1ch,orig_3ch,orig_45,orig_65,orig_cand_female
45usa voter,43,3,0,0,0,1,0,0,0,0,1,1,0,0,1,0
46usa voter,44,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0
46usa voter,44,1,1,1,0,0,0,1,0,0,1,0,1,0,1,0
46usa voter,44,2,1,1,0,0,1,0,0,0,0,0,0,0,1,0
46usa voter,44,2,0,1,0,0,1,0,1,0,0,0,0,1,0,1
46usa voter,44,3,0,0,1,0,0,1,1,0,0,0,1,0,0,0
46usa voter,44,3,1,0,1,0,1,0,0,0,1,0,0,0,0,1
47usa voter,45,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0
47usa voter,45,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1
47usa voter,45,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0
47usa voter,45,2,1,0,0,1,1,0,1,0,0,0,1,0,0,1
47usa voter,45,3,1,1,0,0,0,1,0,0,1,1,0,0,1,1
47usa voter,45,3,0,1,0,0,0,0,0,0,1,0,0,1,0,1
48usa voter,46,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
48usa voter,46,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0
48usa voter,46,2,1,0,1,0,0,0,0,0,1,0,1,1,0,1
48usa voter,46,2,0,0,1,0,0,0,0,1,0,1,0,0,1,0
48usa voter,46,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1
48usa voter,46,3,1,0,0,0,0,1,1,0,0,0,1,1,0,1
49usa voter,47,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0
49usa voter,47,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
49usa voter,47,2,1,0,1,0,0,0,1,0,0,1,0,1,0,0
49usa voter,47,2,0,0,0,1,0,1,0,0,0,0,1,1,0,1
49usa voter,47,3,1,1,0,0,0,0,0,0,0,1,0,0,0,1
49usa voter,47,3,0,1,0,0,1,0,1,0,0,0,1,0,1,1
51usa voter,48,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1
51usa voter,48,1,1,0,0,0,0,1,1,0,0,1,0,0,1,1
51usa voter,48,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1
51usa voter,48,2,1,1,0,0,0,0,0,1,0,1,0,0,0,1
51usa voter,48,3,1,1,0,0,1,0,0,0,0,0,1,0,0,1
51usa voter,48,3,0,0,1,0,0,1,0,0,1,1,0,1,0,0
52usa voter,49,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1
52usa voter,49,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1
52usa voter,49,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
52usa voter,49,2,1,0,0,1,0,0,0,1,0,1,0,0,0,0
52usa voter,49,3,1,0,0,1,0,1,0,0,1,0,1,0,0,1
52usa voter,49,3,0,0,0,0,1,0,0,0,1,0,0,0,1,0
53usa voter,50,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0
53usa voter,50,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0
53usa voter,50,2,1,0,0,0,0,1,1,0,0,1,0,0,0,0
53usa voter,50,2,0,1,0,0,0,1,1,0,0,1,0,0,0,1
53usa voter,50,3,0,0,1,0,0,0,1,0,0,0,0,1,0,1
53usa voter,50,3,1,0,1,0,0,1,0,0,1,1,0,0,1,1
54usa voter,51,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0
54usa voter,51,1,1,0,0,1,1,0,0,0,0,0,1,1,0,1
